,District,Taluk,% Angawadis in rented building,%Anganwadis in Own building,No.of Anganawadi Workers,No. of Anganawadi Helpers,% children in Anganwadi,Sites available for Urban Anagwadi (as per GIS 2022-23),Per Capita Income (at constant prices),Total children age 6-23 months receiving an adequate diet (%),Children under age 3 years breastfed within one hour of birth(%),Children with diarrhoea  who received oral rehydration salts (ORS)(%),Children under 5 years who are underweight (weight-for-age) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),Medical officer-MBBS - Deficit,Health Assistant (male/female) - Deficit,Deprivation % - Households with Not even one household member has completed six years of schooling.,Deprivation % - Households with Any school age children not attending school (6-14),"Deprivation % - Households that have inadequate housing material in either floor, roofor wall",Deprivation % - Households that cook using solid fuel,Deprivation % - Households with no safe drinking water or 30 min away,Deprivation % - Households that have no electricity,Deprivation % - Households with no sanitation facility,Deprivation % - No household member has a bank account or a post office account.,Children age 6 to 59 months who are stunted (height-for-age) (%),Children age 6 to 59 months who are severely wasted (weight-for-height) (%),Children under age 6 months exclusively breastfed(%),Children age 9-35 months who received a vitamin A dose(%),children low birth weight (%),Number of total notification case of Tuberculosis,Children age 12-23 months fully vaccinated based(%),Received Health Insurance (%),Gap in CHC Doctor,Gap in CHC Labtech,Gap in CHC pharmacist,Gap in CHC Staff Nurse( 1shift),Gap in PHC Doctor,Gap in PHC Labtech,Gap in PHC Pharmacist,Gap in PHC Staff Nurse,Number of Asha Working_Per_1000_Population,Number of CHO Working_Per_1000_Population,Gap in number of Subcentre,Gap in number of PHC,Gap in number of CHC,Under5_mortality (per 1000),MMR  (per 1 lakh),infantmortality_Neg,% Adolescent girls aged 15-19 years who are anaemic (%),%Pregnant women age 15-49 years who are anaemic ,%Children age 6-59 months who are anaemic (%),Prevalence of diarrhoea under 5 years of age (%),No. of Anganwadis/UPHCs have conducted at least one Village Health Sanitation & Nutrition day / Urban Health Sanitation & Nutrit,Deprivation % - Households with adult between 15-49 whose BMI is below normal or children under 5 years who are stunted or waste,Deprivation % - Households with with any woman has not received at least 4 antenatal care visits for the most recent birth or ha
0,Kalaburgi,Afzalpur,10.0,82.6923076923077,260.0,260.0,77.51058583292655,11.30232558139535,95449.0,19.78824705387206,27.0519580727914,47.65782828282828,41.54284320477502,8.976842023717023,9.0375,26.953846153846154,6.8909,3.0783,57.9859,41.8206,8.6983,0.4398,65.2463,3.1486,55.38005,8.744589,59.61562,51.39741,34.03692,178.0,39.55808,17.91849,4.0,8.0,2.0,10.0,-1.0,1.0,5.0,16.0,0.752157,0.104682,9.6072,-1.0,-1.0,30.027139598228644,60.091356511806794,5.558427616501145,63.66568616568617,45.47483766233766,78.28254132232668,0.381264,260.0,42.5374,13.9028
1,Chikmagalur,Ajjampura,7.874015748031496,92.1259842519685,174.0,155.0,65.54273843805241,11.30232558139535,262841.0,4.115791615791616,56.59180896106916,61.7876221001221,22.03615475654949,21.79736785205534,9.0,18.0,6.7572,1.2341,43.2049,17.7331,3.4859,0.8961,12.3011,4.082,34.31988,18.40278,64.07204,57.18014,37.47798,253.47787610619469,66.05591,25.50982,6.0,5.0,2.0,5.0,9.0,9.0,9.0,18.0,0.7684136860465115,0.13270830128205127,4.583,-5.0,1.0752212389380533,12.641824981675217,13.668357654024568,13.67225906593406,48.03676888312305,23.24290293040292,57.22820609720853,0.521329,127.0,24.439,2.2157
2,Kalaburgi,Aland,18.28978622327791,72.92161520190024,421.0,421.0,76.74610902183483,11.30232558139535,103589.0,7.46730324074074,26.06050234487734,51.37268518518518,46.97235576923077,1.791356646825397,9.0375,26.953846153846154,11.9714,6.4876,58.6774,59.493,2.9364,0.7153,68.9422,5.6594,39.50952,11.03869,55.09836,61.83537,33.3624,209.0,18.80208,20.18583,4.0,11.0,3.0,14.0,-1.0,5.0,13.0,25.0,0.708358,0.092286,21.527,-7.0,-1.0,9.008141879468594,53.06145425301288,10.468411147584037,68.46747448979592,31.35416666666667,79.26704545454545,0.073529,421.0,37.5831,9.9762
3,Dharwad,Alnavara,42.22222222222222,57.77777777777777,45.0,44.0,115.66119750522788,11.30232558139535,173311.0,5.0,84.85119047619048,25.0,49.14772727272727,11.66639109347443,1.0,2.0,6.6998,6.9479,57.4855,28.9495,1.737,0.8271,13.7304,2.9777,48.04766,8.55232,43.18452,40.6219,38.71995,8.0,4.166667,13.15582,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-1.0,3.9599999999999995,4.52,-1.0,0.7684136860465115,0.13270830128205127,7.15,-1.486725663716814,1.0752212389380533,87.56547291414006,67.95423187020677,39.509821344,56.26364087301587,39.58333333333334,67.75568181875,0.15625,45.0,54.177,5.6245
4,Hassan,Alur,8.98876404494382,70.2247191011236,178.0,143.0,56.83465676788062,11.30232558139535,147887.0,12.03699421720255,36.90863468817338,44.28603803603804,25.34452224569412,40.13863123758956,1.0,3.0,6.9022,0.2217,46.5994,16.5593,2.5206,0.2965,15.6761,5.0052,12.57143,2.142301,58.89272,55.82936,37.26679,65.0,59.01213,34.30158,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,1.0,3.0,6.0,3.0,0.86225,0.13270830128205127,4.613667,-3.0,1.0,12.641824981675217,43.69520441035921,36.38157628482629,23.79736062548562,46.9562181645515,57.49144613527079,3.220656,178.0,23.3587,5.6964
5,Bengaluru Urban,Anekal,28.240740740740737,67.82407407407408,411.0,368.0,73.07983944924962,9.0,310132.0,2.778512639623751,24.02418383206418,100.0,38.92325592788556,34.49980087614496,1.0,4.0,1.6982,6.0296,14.2703,1.4088,4.2243,0.2719,4.8268,3.0606,14.15849,7.7282541548672565,83.7023,41.45499,35.55574,633.0,89.875,51.95392,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,2.0,3.0,8.351111111111111,0.497876,0.04772,82.285,1.0,1.0,60.80495768641302,3.8383976549569923,13.144789191542541,58.08933247822137,19.07853891650188,70.03613015071349,0.557866,422.0,17.2331,3.7115
6,Uttara Kannada,Ankola,12.663755458515283,78.60262008733623,227.0,208.0,58.8464163162858,11.30232558139535,136579.0,0.07309941520467834,58.16060985797828,100.0,15.06745952634111,34.02307852965748,9.0375,26.953846153846154,8.2212,1.2445,21.568,44.6527,42.2727,2.03,9.0612,3.2667,31.16688,27.50175,49.52722,46.94756,31.97346,71.0,88.88402,43.12244,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,5.0,3.0,6.0,0.973138,0.245476,7.997333,-1.486725663716814,1.0,40.53663845760867,15.959178535630201,7.554076510721247,38.56814305334042,6.217105263157895,68.21209589647697,1.696429,229.0,36.3148,6.3934
7,Dharwad,ANNIGERI,28.915662650602407,71.08433734939759,83.0,79.0,51.02735479858568,11.30232558139535,180965.0,6.25,57.32043650793651,25.0,57.53977272727273,6.004464285714286,2.0,4.0,6.9813,5.2359,55.3652,56.1409,67.8087,0.6787,47.8345,1.3575,52.18561,11.25616,52.29117,42.95238,40.26449,66.0,46.66667,19.40194,1.3911111111111112,3.2888888888888888,1.0933333333333333,2.3200000000000003,-0.32888888888888895,1.0,2.0,1.0,0.7684136860465115,0.13270830128205127,4.445,-1.486725663716814,1.0752212389380533,45.60371826480975,87.56829406279866,39.50352624,47.78025793650793,72.91666666666666,54.76893939507499,7.421875,83.0,45.3458,5.7854
8,Hassan,Arkalgud,5.30035335689046,83.03886925795054,280.0,265.0,47.198658682345176,11.30232558139535,241055.0,12.84026918848348,46.44957377160821,42.03195217480931,29.27079758039579,38.4063376517033,9.0375,26.0,8.5528,0.0942,41.7727,14.1587,2.0711,0.6511,14.5007,2.1423,46.19298,3.612414,69.57831,52.3328,32.65767,102.0,63.92259,38.84401,2.0,3.0,2.0,-1.0,-4.0,8.0,11.0,16.0,0.931456,0.13270830128205127,14.75667,-6.0,1.0,12.641824981675217,248.2033858831208,26.945132962275817,43.44918119484446,48.61075895004467,54.04258245716845,2.391834,283.0,27.0196,4.4691
9,Hassan,Arsikere,15.250544662309368,64.70588235294117,448.0,423.0,49.58972198578409,11.30232558139535,102535.0,5.876312634125135,33.03204766876641,44.37665291358473,47.78750243141223,41.84939391007889,2.0,8.0,8.0955,0.6837,51.6406,14.9499,2.5398,0.2087,13.8579,1.5909,24.14692,7.786334,47.97825,35.88043,32.99834,219.0,54.76624,51.97162,2.0,7.0,4.0,4.0,-2.0,11.0,15.0,29.0,0.871499,0.13270830128205127,-16.0538,-14.0,1.0752212389380533,12.641824981675217,75.80204202895173,89.9651466450216,28.16599940463577,76.63258038258039,28.68891573354226,0.742275,459.0,22.5267,7.5669
